"Delivery Date","Delivery Date"
"Delivery Time Slot","Delivery Time Slot"
"Please select delivery time slot","Please select delivery time slot"
"Shipping Arrival Comment","Shipping Arrival Comment"
"Delivery Date Information","Delivery Date Information"
"Shipping Arrival Date: ","Shipping Arrival Date: "
"Shipping Arrival Timeslot: ","Shipping Arrival Timeslot: "
"Shipping Arrival Comment: ","Shipping Arrival Comment: "
"Update Delivery Date","Update Delivery Date"
"Shipping Arrival Comments: ","Shipping Arrival Comments: "
"No Comment","No Comment"
"N/A","N/A"